Country Name,Athlete,Gender,Event,Medal
United States,"CREAR, Mark",Men,110M Hurdles,Silver
Kenya,"KIPKORIR, Stephen",Men,1500M,Bronze
Algeria,"MORCELI, Nourredine",Men,1500M,Gold
Spain,"CACHO RUIZ, Fermin",Men,1500M,Silver
Austria,"KIESL, Theresia",Women,1500M,Bronze
Russia,"MASTERKOVA, Svetlana",Women,1500M,Gold
Romania,"SZABO, Gabriela",Women,1500M,Silver
Trinidad and Tobago,"BOLDON, Ato",Men,200M,Bronze
United States,"JOHNSON, Michael",Men,200M,Gold
Namibia,"FREDERICKS, Frank",Men,200M,Silver
Nigeria,"ONYALI, Mary",Women,200M,Bronze
France,"PEREC, Marie-Jose",Women,200M,Gold
Jamaica,"OTTEY-PAGE, Merlene",Women,200M,Silver
Mexico,"SEGURA, Bernardo",Men,20KM Walk,Bronze
Ecuador,"PEREZ, Jefferson",Men,20KM Walk,Gold
Russia,"MARKOV, Ilya",Men,20KM Walk,Silver
Italy,"LAMBRUSCHINI, Alessandro",Men,3000M Steeplechase,Bronze
Kenya,"KETER, Joseph",Men,3000M Steeplechase,Gold
Kenya,"KIPTANUI, Moses",Men,3000M Steeplechase,Silver
Uganda,"KAMOGA, Davis",Men,400M,Bronze
United States,"JOHNSON, Michael",Men,400M,Gold
United Kingdom,"BLACK, Roger",Men,400M,Silver
Nigeria,"OGUNKOYA, Falilat",Women,400M,Bronze
France,"PEREC, Marie-Jose",Women,400M,Gold
Australia,"FREEMAN, Cathy",Women,400M,Silver
United States,"DAVIS, Calvin",Men,400M Hurdles,Bronze
United States,"ADKINS, Derrick",Men,400M Hurdles,Gold
Zambia,"MATETE, Samuel",Men,400M Hurdles,Silver
United States,"BUFORD-BAILEY, Tonja",Women,400M Hurdles,Bronze
Jamaica,"HEMMINGS, Deon Marie",Women,400M Hurdles,Gold
United States,"BATTEN, Kim",Women,400M Hurdles,Silver
Morocco,"BOULAMI, Khalid",Men,5000M,Bronze
Burundi,"NIYONGABO, Venuste",Men,5000M,Gold
Kenya,"BITOK, Paul",Men,5000M,Silver
Italy,"BRUNET, Roberta",Women,5000M,Bronze
China,"WANG, Junxia",Women,5000M,Gold
Kenya,"KONGA, Pauline",Women,5000M,Silver
Spain,"MASSANA, Valentin",Men,50KM Walk,Bronze
Poland,"KORZENIOWSKI, Robert",Men,50KM Walk,Gold
Russia,"SHCHENNIKOV, Mikhail",Men,50KM Walk,Silver
Kenya,"ONYANCHA, Fred",Men,800M,Bronze
Norway,"RODAL, Vebjorn",Men,800M,Gold
South Africa,"SEPENG, Hezekiel",Men,800M,Silver
Mozambique,"MUTOLA, Maria",Women,800M,Bronze
Russia,"MASTERKOVA, Svetlana",Women,800M,Gold
Cuba,"QUIROT, Ana Fidelia",Women,800M,Silver
Czech Republic,"DVORAK, Tomas",Men,Decathlon,Bronze
United States,"O'BRIEN, Dan",Men,Decathlon,Gold
Germany,"BUSEMANN, Frank",Men,Decathlon,Silver
Belarus,"KAPTYUKH, Vasiliy",Men,Discus Throw,Bronze
Germany,"RIEDEL, Lars",Men,Discus Throw,Gold
Belarus,"DUBROVSHCHIK, Vladimir",Men,Discus Throw,Silver
Belarus,"ZVEREVA, Ellina",Women,Discus Throw,Bronze
Germany,"WYLUDDA, Ilke",Women,Discus Throw,Gold
Russia,"SADOVA, Natalya",Women,Discus Throw,Silver
Ukraine,"KRYKUN, Oleksiy",Men,Hammer Throw,Bronze
Hungary,"KISS, Balazs",Men,Hammer Throw,Gold
United States,"DEAL, Lance Earl",Men,Hammer Throw,Silver
United Kingdom,"LEWIS, Denise",Women,Heptathlon,Bronze
Syria,"SHOUAA, Ghada",Women,Heptathlon,Gold
Belarus,"SAZANOVICH, Natalya",Women,Heptathlon,Silver
United Kingdom,"SMITH, Stephen James",Men,High Jump,Bronze
United States,"AUSTIN, Charles",Men,High Jump,Gold
Poland,"PARTYKA, Artur",Men,High Jump,Silver
Ukraine,"BABAKOVA, Inha",Women,High Jump,Bronze
Bulgaria,"KOSTADINOVA, Stefka",Women,High Jump,Gold
Greece,"BAKOGIANNI, Niki",Women,High Jump,Silver
Finland,"RATY, Seppo Henrik",Men,Javelin Throw,Bronze
Czech Republic,"ZELEZNY, Jan",Men,Javelin Throw,Gold
United Kingdom,"BACKLEY, Steve",Men,Javelin Throw,Silver
Norway,"HATTESTAD, Trine",Women,Javelin Throw,Bronze
Finland,"RANTANEN, Heli Orvokki",Women,Javelin Throw,Gold
Australia,"MCPAUL, Louise",Women,Javelin Throw,Silver
United States,"GREENE, Joe",Men,Long Jump,Bronze
United States,"LEWIS, Carl",Men,Long Jump,Gold
Jamaica,"BECKFORD, James",Men,Long Jump,Silver
United States,"JOYNER-KERSEE, Jackie",Women,Long Jump,Bronze
Nigeria,"AJUNWA, Chioma",Women,Long Jump,Gold
Italy,"MAY, Fiona",Women,Long Jump,Silver
Kenya,"WAINAINA, Erick",Men,Marathon,Bronze
South Africa,"THUGWANE, Josia",Men,Marathon,Gold
"Korea, South","LEE, Bong-Ju",Men,Marathon,Silver
Japan,"ARIMORI, Yuko",Women,Marathon,Bronze
Ethiopia,"ROBA, Fatuma",Women,Marathon,Gold
Russia,"YEGOROVA, Valentina",Women,Marathon,Silver
Germany,"TIVONTCHIK, Andrei",Men,Pole Vault,Bronze
France,"GALFIONE, Jean",Men,Pole Vault,Gold
Russia,"TRANDENKOV, Igor",Men,Pole Vault,Silver
Ukraine,"BAGACH, Oleksandr",Men,Shot Put,Bronze
United States,"BARNES, Eric Randolph",Men,Shot Put,Gold
United States,"GODINA, John",Men,Shot Put,Silver
Russia,"KHUDOROZHKINA, Irina",Women,Shot Put,Bronze
Germany,"KUMBERNUSS, Astrid",Women,Shot Put,Gold
China,"SUI, Xinmei",Women,Shot Put,Silver
Cuba,"QUESADA, Yoelvis",Men,Triple Jump,Bronze
United States,"HARRISON, Kenny",Men,Triple Jump,Gold
United Kingdom,"EDWARDS, Jonathan David",Men,Triple Jump,Silver
Czech Republic,"KASPARKOVA, Sarka",Women,Triple Jump,Bronze
Ukraine,"KRAVETS, Inessa",Women,Triple Jump,Gold
Russia,"LASOVSKAYA, Inna",Women,Triple Jump,Silver
Ethiopia,"MEZGEBU, Assefa",Men,10000M,Bronze
Ethiopia,"GEBRSELASSIE, Haile",Men,10000M,Gold
Kenya,"TERGAT, Paul",Men,10000M,Silver
Portugal,"RIBEIRO, Fernanda",Women,10000M,Bronze
Ethiopia,"TULU, Derartu",Women,10000M,Gold
Ethiopia,"WAMI, Gete",Women,10000M,Silver
Barbados,"THOMPSON, Obadele",Men,100M,Bronze
United States,"GREENE, Maurice",Men,100M,Gold
Trinidad and Tobago,"BOLDON, Ato",Men,100M,Silver
Jamaica,"OTTEY-PAGE, Merlene",Women,100M,Bronze
Jamaica,"LAWRENCE, Tanya",Women,100M,Silver
Greece,"THANOU, Ekaterini",Women,100M,Silver
United States,"MORRISON, Melissa",Women,100M Hurdles,Bronze
Kazakhstan,"SHISHIGINA, Olga",Women,100M Hurdles,Gold
Nigeria,"ALOZIE, Gloria",Women,100M Hurdles,Silver
United States,"CREAR, Mark",Men,110M Hurdles,Bronze
Cuba,"GARCIA, Anier",Men,110M Hurdles,Gold
United States,"TRAMMELL, Terrence",Men,110M Hurdles,Silver
Kenya,"LAGAT, Bernard",Men,1500M,Bronze
Kenya,"NGENYI, Noah Kiprono",Men,1500M,Gold
Morocco,"EL GUERROUJ, Hicham",Men,1500M,Silver
Romania,"SZABO, Gabriela",Women,1500M,Bronze
Algeria,"MERAH-BENIDA, Nouria",Women,1500M,Gold
Romania,"SZEKELY, Violeta",Women,1500M,Silver
Trinidad and Tobago,"BOLDON, Ato",Men,200M,Bronze
Greece,"KENTERIS, Konstantinos",Men,200M,Gold
United Kingdom,"CAMPBELL, Darren",Men,200M,Silver
Jamaica,"MCDONALD, Beverly",Women,200M,Bronze
Bahamas,"DAVIS, Pauline Elaine",Women,200M,Gold
Sri Lanka,"JAYASINGHE, Susanthika",Women,200M,Silver
Spain,"VASCO, Maria",Women,20KM Race Walk,Bronze
China,"WANG, Liping",Women,20KM Race Walk,Gold
Norway,"PLAETZER, Kjersti",Women,20KM Race Walk,Silver
Russia,"ANDREYEV, Vladimir",Men,20KM Walk,Bronze
Poland,"KORZENIOWSKI, Robert",Men,20KM Walk,Gold
Mexico,"HERNANDEZ, Noe",Men,20KM Walk,Silver
Morocco,"EZZINE, Ali",Men,3000M Steeplechase,Bronze
Kenya,"KOSGEI, Reuben",Men,3000M Steeplechase,Gold
Kenya,"KIPKETER, Wilson Boit",Men,3000M Steeplechase,Silver
Jamaica,"HAUGHTON, Greg",Men,400M,Bronze
United States,"JOHNSON, Michael",Men,400M,Gold
United States,"HARRISON, Alvin",Men,400M,Silver
United Kingdom,"MERRY, Katharine",Women,400M,Bronze
Australia,"FREEMAN, Cathy",Women,400M,Gold
Jamaica,"GRAHAM, Lorraine",Women,400M,Silver
South Africa,"HERBERT, Llewellyn",Men,400M Hurdles,Bronze
United States,"TAYLOR, Angelo",Men,400M Hurdles,Gold
Saudi Arabia,"SOMAYLI, Hadi",Men,400M Hurdles,Silver
Morocco,"BIDOUANE, Nouzha",Women,400M Hurdles,Bronze
Russia,"PRIVALOVA, Irina",Women,400M Hurdles,Gold
Jamaica,"HEMMINGS, Deon Marie",Women,400M Hurdles,Silver
Morocco,"LAHLAFI, Brahim",Men,5000M,Bronze
Ethiopia,"WOLDE, Millon",Men,5000M,Gold
Algeria,"SAIDI-SIEF, Ali",Men,5000M,Silver
Ethiopia,"WAMI, Gete",Women,5000M,Bronze
Romania,"SZABO, Gabriela",Women,5000M,Gold
Ireland,"O'SULLIVAN, Sonia",Women,5000M,Silver
Mexico,"SANCHEZ GUERRERO, Joel",Men,50KM Walk,Bronze
Poland,"KORZENIOWSKI, Robert",Men,50KM Walk,Gold
Latvia,"FADEJEVS, Aigars",Men,50KM Walk,Silver
Algeria,"SAID GUERNI, Djabir",Men,800M,Bronze
Germany,"SCHUMANN, Nils",Men,800M,Gold
Denmark,"KIPKETER, Wilson",Men,800M,Silver
United Kingdom,"HOLMES, Kelly",Women,800M,Bronze
Mozambique,"MUTOLA, Maria",Women,800M,Gold
Austria,"GRAF, Stephanie",Women,800M,Silver
United States,"HUFFINS, Chris",Men,Decathlon,Bronze
Estonia,"NOOL, Erki",Men,Decathlon,Gold
Czech Republic,"SEBRLE, Roman",Men,Decathlon,Silver
South Africa,"KRUGER, Frantz",Men,Discus Throw,Bronze
Lithuania,"ALEKNA, Virgilijus",Men,Discus Throw,Gold
Germany,"RIEDEL, Lars",Men,Discus Throw,Silver
Belarus,"YATCHENKO, Iryna",Women,Discus Throw,Bronze
Belarus,"ZVEREVA, Ellina",Women,Discus Throw,Gold
Greece,"KELESIDOU, Anastasia",Women,Discus Throw,Silver
Belarus,"ASTAPKOVICH, Igor",Men,Hammer Throw,Bronze
Poland,"ZIOLKOWSKI, Szymon",Men,Hammer Throw,Gold
Italy,"VIZZONI, Nicola",Men,Hammer Throw,Silver
Germany,"MUENCHOW, Kirsten",Women,Hammer Throw,Bronze
Poland,"SKOLIMOWSKA, Kamila",Women,Hammer Throw,Gold
Russia,"KUZENKOVA, Olga",Women,Hammer Throw,Silver
Belarus,"SAZANOVICH, Natalya",Women,Heptathlon,Bronze
United Kingdom,"LEWIS, Denise",Women,Heptathlon,Gold
Russia,"PROKHOROVA, Yelena",Women,Heptathlon,Silver
Algeria,"HAMMAD, Abderrahmane",Men,High Jump,Bronze
Russia,"KLIUGIN, Sergey",Men,High Jump,Gold
Cuba,"SOTOMAYOR, Javier",Men,High Jump,Silver
Sweden,"BERGQVIST, Kajsa",Women,High Jump,Bronze
Romania,"PANTELIMON, Oana",Women,High Jump,Bronze
Russia,"YELESINA, Yelena",Women,High Jump,Gold
South Africa,"CLOETE, Hestrie",Women,High Jump,Silver
Russia,"MAKAROV, Sergey",Men,Javelin Throw,Bronze
Czech Republic,"ZELEZNY, Jan",Men,Javelin Throw,Gold
United Kingdom,"BACKLEY, Steve",Men,Javelin Throw,Silver
Cuba,"MENENDEZ, Osleidys",Women,Javelin Throw,Bronze
Norway,"HATTESTAD, Trine",Women,Javelin Throw,Gold
Greece,"MANIANI-TZELILI, Mirella",Women,Javelin Throw,Silver
Ukraine,"SCHURENKO, Roman",Men,Long Jump,Bronze
Cuba,"PEDROSO, Ivan",Men,Long Jump,Gold
Australia,"TAURIMA, Jai",Men,Long Jump,Silver
Russia,"KOTOVA, Tatyana",Women,Long Jump,Bronze
Germany,"DRECHSLER, Heike",Women,Long Jump,Gold
Italy,"MAY, Fiona",Women,Long Jump,Silver
Ethiopia,"TOLA, Tesfaye",Men,Marathon,Bronze
Kenya,"CHEPCHUMBA, Joyce",Men,Marathon,Bronze
Ethiopia,"ABERA, Gezahegne",Men,Marathon,Gold
Kenya,"WAINAINA, Erick",Men,Marathon,Silver
Japan,"TAKAHASHI, Naoko",Women,Marathon,Gold
Romania,"SIMON, Lidia Elena",Women,Marathon,Silver
Russia,"TARASOV, Maksim",Men,Pole Vault,Bronze
United States,"HYSONG, Nick",Men,Pole Vault,Gold
United States,"JOHNSON, Lawrence",Men,Pole Vault,Silver
Iceland,"FLOSADOTTIR, Vala",Women,Pole Vault,Bronze
United States,"DRAGILA, Stacy",Women,Pole Vault,Gold
Australia,"GRIGORIEVA, Tatiana",Women,Pole Vault,Silver
United States,"GODINA, John",Men,Shot Put,Bronze
Finland,"HARJU, Arsi",Men,Shot Put,Gold
United States,"NELSON, Adam",Men,Shot Put,Silver
Germany,"KUMBERNUSS, Astrid",Women,Shot Put,Bronze
Belarus,"KAROLCHIK, Yanina",Women,Shot Put,Gold
Russia,"PELESHENKO, Larisa",Women,Shot Put,Silver
Russia,"KAPUSTIN, Denis",Men,Triple Jump,Bronze
United Kingdom,"EDWARDS, Jonathan David",Men,Triple Jump,Gold
Cuba,"GARCIA, Yoel",Men,Triple Jump,Silver
Ukraine,"HOVOROVA, Olena",Women,Triple Jump,Bronze
Bulgaria,"MARINOVA, Tereza",Women,Triple Jump,Gold
Russia,"LEBEDEVA, Tatyana",Women,Triple Jump,Silver
Eritrea,"TADESSE, Zersenay",Men,10000M,Bronze
Ethiopia,"BEKELE, Kenenisa",Men,10000M,Gold
Ethiopia,"SIHINE, Sileshi",Men,10000M,Silver
Ethiopia,"TULU, Derartu",Women,10000M,Bronze
China,"XING, Huina",Women,10000M,Gold
Ethiopia,"DIBABA, Ejegayehu",Women,10000M,Silver
United States,"GREENE, Maurice",Men,100M,Bronze
United States,"GATLIN, Justin",Men,100M,Gold
Portugal,"OBIKWELU, Francis",Men,100M,Silver
Jamaica,"CAMPBELL-BROWN, Veronica",Women,100M,Bronze
Belarus,"NESTERENKO, Yuliya",Women,100M,Gold
United States,"WILLIAMS, Lauryn",Women,100M,Silver
United States,"MORRISON, Melissa",Women,100M Hurdles,Bronze
United States,"HAYES, Joanna",Women,100M Hurdles,Gold
Ukraine,"KRASOVSKA, Olena",Women,100M Hurdles,Silver
Cuba,"GARCIA, Anier",Men,110M Hurdles,Bronze
China,"LIU, Xiang",Men,110M Hurdles,Gold
United States,"TRAMMELL, Terrence",Men,110M Hurdles,Silver
Portugal,"SILVA, Rui",Men,1500M,Bronze
Morocco,"EL GUERROUJ, Hicham",Men,1500M,Gold
Kenya,"LAGAT, Bernard",Men,1500M,Silver
Romania,"CIONCAN, Maria",Women,1500M,Bronze
United Kingdom,"HOLMES, Kelly",Women,1500M,Gold
Russia,"TOMASHEVA, Tatyana",Women,1500M,Silver
United States,"GATLIN, Justin",Men,200M,Bronze
United States,"CRAWFORD, Shawn",Men,200M,Gold
United States,"WILLIAMS, Bernard",Men,200M,Silver
Bahamas,"FERGUSON-MCKENZIE, Debbie",Women,200M,Bronze
Jamaica,"CAMPBELL-BROWN, Veronica",Women,200M,Gold
United States,"FELIX, Allyson",Women,200M,Silver
Australia,"SAVILLE, Jane",Women,20KM Race Walk,Bronze
Greece,"TSOUMELEKA, Athanasia",Women,20KM Race Walk,Gold
Russia,"IVANOVA, Olimpiada",Women,20KM Race Walk,Silver
Australia,"DEAKES, Nathan",Men,20KM Walk,Bronze
Italy,"BRUGNETTI, Ivano",Men,20KM Walk,Gold
Spain,"FERNANDEZ, Francisco Javier",Men,20KM Walk,Silver
Kenya,"KOECH, Paul Kipsiele",Men,3000M Steeplechase,Bronze
Kenya,"KEMBOI, Ezekiel",Men,3000M Steeplechase,Gold
Kenya,"KIPRUTO, Brimin Kiprop",Men,3000M Steeplechase,Silver
United States,"BREW, Derrick",Men,400M,Bronze
United States,"WARINER, Jeremy",Men,400M,Gold
United States,"HARRIS, Otis",Men,400M,Silver
Russia,"ANTYUKH, Natalya",Women,400M,Bronze
Bahamas,"WILLIAMS-DARLING, Tonique",Women,400M,Gold
Mexico,"GUEVARA, Ana",Women,400M,Silver
France,"KEITA, Naman",Men,400M Hurdles,Bronze
Dominican Republic,"SANCHEZ, Felix",Men,400M Hurdles,Gold
Jamaica,"MCFARLANE, Danny",Men,400M Hurdles,Silver
Ukraine,"TERESHCHUK-ANTIPOVA, Tetiana",Women,400M Hurdles,Bronze
Greece,"CHALKIA, Fani",Women,400M Hurdles,Gold
Romania,"TIRLEA-MANOLACHE, Ionela",Women,400M Hurdles,Silver
Kenya,"KIPCHOGE, Eliud",Men,5000M,Bronze
Morocco,"EL GUERROUJ, Hicham",Men,5000M,Gold
Ethiopia,"BEKELE, Kenenisa",Men,5000M,Silver
Ethiopia,"DIBABA, Tirunesh",Women,5000M,Bronze
Ethiopia,"DEFAR, Meseret",Women,5000M,Gold
Kenya,"OCHICHI, Isabella",Women,5000M,Silver
Russia,"VOYEVODIN, Aleksey",Men,50KM Walk,Bronze
Poland,"KORZENIOWSKI, Robert",Men,50KM Walk,Gold
Russia,"NIZHEGORODOV, Denis",Men,50KM Walk,Silver
Denmark,"KIPKETER, Wilson",Men,800M,Bronze
Russia,"BORZAKOVSKIY, Yuriy",Men,800M,Gold
South Africa,"MULAUDZI, Mbulaeni",Men,800M,Silver
Slovenia,"CEPLAK, Jolanda",Women,800M,Bronze
United Kingdom,"HOLMES, Kelly",Women,800M,Gold
Morocco,"BENHASSI, Hasna",Women,800M,Silver
Kazakhstan,"KARPOV, Dmitriy",Men,Decathlon,Bronze
Czech Republic,"SEBRLE, Roman",Men,Decathlon,Gold
United States,"CLAY, Bryan",Men,Decathlon,Silver
Estonia,"TAMMERT, Aleksander",Men,Discus Throw,Bronze
Lithuania,"ALEKNA, Virgilijus",Men,Discus Throw,Gold
Hungary,"KOVAGO, Zoltan",Men,Discus Throw,Silver
Belarus,"YATCHENKO, Iryna",Women,Discus Throw,Bronze
Russia,"SADOVA, Natalya",Women,Discus Throw,Gold
Greece,"KELESIDOU, Anastasia",Women,Discus Throw,Silver
Turkey,"APAK, Esref",Men,Hammer Throw,Bronze
Japan,"MUROFUSHI, Koji",Men,Hammer Throw,Gold
Belarus,"TIKHON, Ivan",Men,Hammer Throw,Silver
Cuba,"CRAWFORD, Yunaika",Women,Hammer Throw,Bronze
Russia,"KUZENKOVA, Olga",Women,Hammer Throw,Gold
Cuba,"MORENO, Yipsi",Women,Hammer Throw,Silver
United Kingdom,"SOTHERTON, Kelly",Women,Heptathlon,Bronze
Sweden,"KLUFT, Carolina",Women,Heptathlon,Gold
Lithuania,"SKUJYTE, Austra",Women,Heptathlon,Silver
Czech Republic,"BABA, Jaroslav",Men,High Jump,Bronze
Sweden,"HOLM, Stefan",Men,High Jump,Gold
United States,"HEMINGWAY, Matt",Men,High Jump,Silver
Ukraine,"STYOPINA, Viktoriya",Women,High Jump,Bronze
Russia,"SLESARENKO, Elena",Women,High Jump,Gold
South Africa,"CLOETE, Hestrie",Women,High Jump,Silver
Russia,"MAKAROV, Sergey",Men,Javelin Throw,Bronze
Norway,"THORKILDSEN, Andreas",Men,Javelin Throw,Gold
Latvia,"VASILEVSKIS, Vadims",Men,Javelin Throw,Silver
Greece,"MANIANI-TZELILI, Mirella",Women,Javelin Throw,Bronze
Cuba,"MENENDEZ, Osleidys",Women,Javelin Throw,Gold
Germany,"NERIUS, Steffi",Women,Javelin Throw,Silver
Spain,"MARTINEZ, Joan Lino",Men,Long Jump,Bronze
United States,"PHILLIPS, Dwight",Men,Long Jump,Gold
United States,"MOFFITT, John",Men,Long Jump,Silver
Russia,"KOTOVA, Tatyana",Women,Long Jump,Bronze
Russia,"LEBEDEVA, Tatyana",Women,Long Jump,Gold
Russia,"SIMAGINA, Irina",Women,Long Jump,Silver
Brazil,"DE LIMA, Vanderlei",Men,Marathon,Bronze
Italy,"BALDINI, Stefano",Men,Marathon,Gold
United States,"KEFLEZIGHI, Mebrahtom",Men,Marathon,Silver
United States,"KASTOR, Deena",Women,Marathon,Bronze
Japan,"NOGUCHI, Mizuki",Women,Marathon,Gold
Kenya,"NDEREBA, Catherine",Women,Marathon,Silver
Italy,"GIBILISCO, Giuseppe",Men,Pole Vault,Bronze
United States,"MACK, Timothy",Men,Pole Vault,Gold
United States,"STEVENSON, Toby",Men,Pole Vault,Silver
Poland,"ROGOWSKA, Anna",Women,Pole Vault,Bronze
Russia,"ISINBAEVA, Elena",Women,Pole Vault,Gold
Russia,"FEOFANOVA, Svetlana",Women,Pole Vault,Silver
Denmark,"OLSEN, Joachim Broechner",Men,Shot Put,Bronze
Ukraine,"BILONOG, Yuriy",Men,Shot Put,Gold
United States,"NELSON, Adam",Men,Shot Put,Silver
Russia,"KRIVELYOVA, Svetlana",Women,Shot Put,Bronze
Cuba,"CUMBA, Yumileidi",Women,Shot Put,Gold
Germany,"KLEINERT, Nadine",Women,Shot Put,Silver
Russia,"BURKENYA, Danila",Men,Triple Jump,Bronze
Sweden,"OLSSON, Christian",Men,Triple Jump,Gold
Romania,"OPREA, Marian",Men,Triple Jump,Silver
Russia,"LEBEDEVA, Tatyana",Women,Triple Jump,Bronze
Cameroon,"MBANGO ETONE, Francoise",Women,Triple Jump,Gold
Greece,"DEVETZI, Hrysopiyi",Women,Triple Jump,Silver
Kenya,"KOGO, Micah",Men,10000M,Bronze
Ethiopia,"BEKELE, Kenenisa",Men,10000M,Gold
Ethiopia,"SIHINE, Sileshi",Men,10000M,Silver
United States,"FLANAGAN, Shalane",Women,10000M,Bronze
Ethiopia,"DIBABA, Tirunesh",Women,10000M,Gold
Turkey,"ABEYLEGESSE, Elvan",Women,10000M,Silver
United States,"DIX, Walter",Men,100M,Bronze
Jamaica,"BOLT, Usain",Men,100M,Gold
Trinidad and Tobago,"THOMPSON, Richard",Men,100M,Silver
Jamaica,"FRASER, Shelly-ann",Women,100M,Gold
Jamaica,"SIMPSON, Sherone",Women,100M,Silver
Jamaica,"STEWART, Kerron",Women,100M,Silver
Canada,"LOPES-SCHLIEP, Priscilla",Women,100M Hurdles,Bronze
United States,"HARPER, Dawn",Women,100M Hurdles,Gold
Australia,"MCLELLAN, Sally",Women,100M Hurdles,Silver
United States,"OLIVER, David",Men,110M Hurdles,Bronze
Cuba,"ROBLES, Dayron",Men,110M Hurdles,Gold
United States,"PAYNE, David",Men,110M Hurdles,Silver
France,"BAALA, Mehdi",Men,1500M,Bronze
Kenya,"KIPROP, Asbel Kipruto",Men,1500M,Gold
New Zealand,"WILLIS, Nicholas",Men,1500M,Silver
Ukraine,"TOBIAS, Nataliya",Women,1500M,Bronze
Kenya,"LANGAT, Nancy jebet",Women,1500M,Gold
Ukraine,"LISHCHYNSKA, Iryna",Women,1500M,Silver
United States,"DIX, Walter",Men,200M,Bronze
Jamaica,"BOLT, Usain",Men,200M,Gold
United States,"CRAWFORD, Shawn",Men,200M,Silver
Jamaica,"STEWART, Kerron",Women,200M,Bronze
Jamaica,"CAMPBELL-BROWN, Veronica",Women,200M,Gold
United States,"FELIX, Allyson",Women,200M,Silver
Italy,"RIGAUDO, Elisa",Women,20KM Race Walk,Bronze
Russia,"KANISKINA, Olga",Women,20KM Race Walk,Gold
Norway,"PLATZER, Kjersti Tysse",Women,20KM Race Walk,Silver
Australia,"TALLENT, Jared",Men,20KM Walk,Bronze
Russia,"BORCHIN, Valeriy",Men,20KM Walk,Gold
Ecuador,"PEREZ, Jefferson",Men,20KM Walk,Silver
Kenya,"MATEELONG, Richard Kipkemboi",Men,3000M Steeplechase,Bronze
Kenya,"KIPRUTO, Brimin Kiprop",Men,3000M Steeplechase,Gold
France,"MEKHISSI-B., Mahiedine",Men,3000M Steeplechase,Silver
Russia,"VOLKOVA, Ekaterina",Women,3000M Steeplechase,Bronze
Russia,"GALKINA-SAMITOVA, Gulnara",Women,3000M Steeplechase,Gold
Kenya,"JEPKORIR, Eunice",Women,3000M Steeplechase,Silver
United States,"NEVILLE, David",Men,400M,Bronze
United States,"MERRITT, LaShawn",Men,400M,Gold
United States,"WARINER, Jeremy",Men,400M,Silver
United States,"RICHARDS, Sanya",Women,400M,Bronze
United Kingdom,"OHURUOGU, Christine",Women,400M,Gold
Jamaica,"WILLIAMS, Shericka",Women,400M,Silver
United States,"JACKSON, Bershawn",Men,400M Hurdles,Bronze
United States,"TAYLOR, Angelo",Men,400M Hurdles,Gold
United States,"CLEMENT, Kerron",Men,400M Hurdles,Silver
United Kingdom,"DANVERS, Tasha",Women,400M Hurdles,Bronze
Jamaica,"WALKER, Melaine",Women,400M Hurdles,Gold
United States,"TOSTA, Sheena",Women,400M Hurdles,Silver
Kenya,"SOI, Edwin Cheruiyot",Men,5000M,Bronze
Ethiopia,"BEKELE, Kenenisa",Men,5000M,Gold
Kenya,"KIPCHOGE, Eliud",Men,5000M,Silver
Ethiopia,"DEFAR, Meseret",Women,5000M,Bronze
Ethiopia,"DIBABA, Tirunesh",Women,5000M,Gold
Turkey,"ABEYLEGESSE, Elvan",Women,5000M,Silver
Russia,"NIZHEGORODOV, Denis",Men,50KM Walk,Bronze
Italy,"SCHWAZER, Alex",Men,50KM Walk,Gold
Australia,"TALLENT, Jared",Men,50KM Walk,Silver
Kenya,"YEGO, Alfred Kirwa",Men,800M,Bronze
Kenya,"BUNGEI, Wilfred",Men,800M,Gold
Sudan,"ISMAIL, Ismail Ahmed",Men,800M,Silver
Morocco,"BENHASSI, Hasna",Women,800M,Bronze
Kenya,"JELIMO, Pamela",Women,800M,Gold
Kenya,"BUSIENEI, Janeth Jepkosgei",Women,800M,Silver
Cuba,"SUAREZ, Leonel",Men,Decathlon,Bronze
United States,"CLAY, Bryan",Men,Decathlon,Gold
Belarus,"KRAUCHANKA, Andrei",Men,Decathlon,Silver
Lithuania,"ALEKNA, Virgilijus",Men,Discus Throw,Bronze
Estonia,"KANTER, Gerd",Men,Discus Throw,Gold
Poland,"MALACHOWSKI, Piotr",Men,Discus Throw,Silver
Ukraine,"ANTONOVA, Olena",Women,Discus Throw,Bronze
United States,"BROWN TRAFTON, Stephanie",Women,Discus Throw,Gold
Cuba,"BARRIOS, Yarelys",Women,Discus Throw,Silver
Belarus,"TSIKHAN, Ivan",Men,Hammer Throw,Bronze
Slovenia,"KOZMUS, Primoz",Men,Hammer Throw,Gold
Belarus,"DEVYATOVSKIY, Vadim",Men,Hammer Throw,Silver
China,"ZHANG, Wenxiu",Women,Hammer Throw,Bronze
Belarus,"MIANKOVA, Aksana",Women,Hammer Throw,Gold
Cuba,"MORENO, Yipsi",Women,Hammer Throw,Silver
Russia,"CHERNOVA, Tatiana",Women,Heptathlon,Bronze
Ukraine,"DOBRYNSKA, Nataliia",Women,Heptathlon,Gold
United States,"FOUNTAIN, Hyleas",Women,Heptathlon,Silver
Russia,"RYBAKOV, Yaroslav",Men,High Jump,Bronze
Russia,"SILNOV, Andrey",Men,High Jump,Gold
United Kingdom,"MASON, Germaine",Men,High Jump,Silver
Russia,"CHICHEROVA, Anna",Women,High Jump,Bronze
